,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1984–85,Utah,82.0,5.0,18.2,0.471,0.182,0.736,1.3,5.1,1.3,0.1,5.6
1,1985–86,Utah,82.0,38.0,23.6,0.489,0.133,0.839,2.2,7.4,1.9,0.1,7.7
2,1986–87,Utah,82.0,2.0,22.7,0.499,0.179,0.782,1.8,8.2,2.2,0.2,7.9
3,1987–88,Utah,82.0,79.0,34.7,0.574,0.358,0.84,2.9,13.8,3.0,0.2,14.7
4,1988–89,Utah,82.0,82.0,38.7,0.538,0.242,0.863,3.0,13.6,3.2,0.2,17.1
5,1989–90,Utah,78.0,78.0,37.4,0.514,0.416,0.819,2.6,14.5,2.7,0.2,17.2
6,1990–91,Utah,82.0,82.0,37.8,0.507,0.345,0.836,2.9,14.2,2.9,0.2,17.2
7,1991–92,Utah,82.0,82.0,36.6,0.482,0.407,0.842,3.3,13.7,3.0,0.3,15.8
8,1992–93,Utah,82.0,82.0,34.9,0.486,0.385,0.798,2.9,12.0,2.4,0.3,15.1
9,1993–94,Utah,82.0,82.0,36.2,0.528,0.322,0.805,3.1,12.6,2.4,0.3,15.1
10,1994–95,Utah,82.0,82.0,35.0,0.542,0.449,0.804,3.1,12.3,2.4,0.3,14.7
11,1995–96,Utah,82.0,82.0,35.5,0.538,0.422,0.83,2.8,11.2,1.7,0.2,14.7
12,1996–97,Utah,82.0,82.0,35.3,0.548,0.422,0.846,2.8,10.5,2.0,0.2,14.4
13,1997–98,Utah,64.0,64.0,29.0,0.528,0.429,0.827,2.6,8.5,1.4,0.2,12.0
14,1998–99,Utah,50.0,50.0,28.2,0.488,0.32,0.811,2.9,7.5,1.6,0.3,11.1
15,1999–00,Utah,82.0,82.0,29.7,0.501,0.355,0.86,2.6,8.6,1.7,0.2,12.1
16,2000–01,Utah,82.0,82.0,29.1,0.504,0.462,0.817,2.8,8.7,1.6,0.3,11.5
17,2001–02,Utah,82.0,82.0,31.3,0.517,0.321,0.857,3.2,8.2,1.9,0.3,13.4
18,2002–03,Utah,82.0,82.0,27.7,0.483,0.363,0.826,2.5,7.7,1.7,0.2,10.8
